token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	???	0	0	0	{televisione_accesa_di_sottofondo}	{televisione_accesa_di_sottofondo}	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=0.0|End=4.732	_	_	_	_
1-0	PKP061	1	1	0	sentiamo	sentiamo	_	_	_	_	_	linguistic	_	none	_	Begin=0.0	_	_	_	_
1-1	PKP061	1	1	1	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PKP061	1	1	2	sono	sono	_	_	_	_	_	linguistic	_	none	_	End=1.045	_	_	_	_
2-0	PKP061	2	2	0	secondo	secondo	_	_	_	_	_	linguistic	_	none	_	Begin=2.492	_	_	_	_
2-1	PKP061	2	2	1	me	me	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PKP061	2	2	2	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PKP061	2	2	3	nonna	nonna	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PKP061	2	2	4	vedeva,	vedeva	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=4.408	_	_	_	_
3-0	PKP057	3	3	0	pensava	pensava	_	_	_	_	_	linguistic	_	none	_	Begin=5.197	_	_	_	_
3-1	PKP057	3	3	1	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PKP057	3	3	2	fossero	fossero	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PKP057	3	3	3	pezzi	pezzi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	PKP057	3	3	4	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	PKP057	3	3	5	[verdure],	verdure	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=6.76	_	_	_	0-7(0)
4-0	PKP061	4	4	0	[mh]	mh	_	_	_	_	_	linguistic	_	none	_	Begin=6.253|End=6.746	_	_	_	0-2(0)
5-0	PKP057	5	5	0	{soffia}	{soffia}	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=9.028	_	_	_	_
5-1	PKP057	5	5	1	buon	buon	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PKP057	5	5	2	appetito	appetito	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PKP057	5	5	3	{soffia}	{soffia}	_	_	_	_	_	nonverbalbehavior	_	none	_	End=11.028	_	_	_	_
6-0	PKP061	6	6	0	anche	anche	_	_	_	_	_	linguistic	_	none	_	Begin=10.802	_	_	_	_
6-1	PKP061	6	6	1	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PKP061	6	6	2	te	te	_	_	_	_	_	linguistic	_	none	_	End=11.408	_	_	_	_
7-0	PKP057	7	7	0	°m:h°	mh	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=13.028|End=14.028	0x1	_	_	_
8-0	PKP057	8	8	0	beh,	beh	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising|PauseAfter=Yes	Begin=18.014	_	_	_	_
8-1	PKP057	8	8	1	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
8-2	PKP057	8	8	2	m:h	mh	_	_	_	_	_	linguistic	_	none	_	End=21.211	0x1	_	_	_
